"","position","player","team","age","total_value","avg_year","total_guaranteed","fully_guaranteed","agency_time","type"
"226","4-3-defensive-end","Jerry Hughes","Bills",31,21500000,10750000,19750000,19750000,2022,"UFA"
"227","left-tackle","Taylor Lewan","Titans",28,80000000,16000000,50000000,34000000,2024,"UFA"
"228","edge-rusher","Carlos Dunlap","Bengals",30,40500000,13500000,22000000,18000000,2022,"UFA"
"229","edge-rusher","Brandon Graham","Eagles",31,40000000,13333333,27000000,27000000,2024,"UFA"
"230","edge-rusher","Preston Smith","Packers",27,52000000,13000000,16000000,16000000,2023,"UFA"
"231","edge-rusher","Dante Fowler, Jr.","Rams",25,12000000,12000000,12000000,12000000,2020,"UFA"
"232","edge-rusher","Ryan Kerrigan","Redskins",31,57500000,11500000,23788000,23788000,2021,"UFA"
"233","4-3-defensive-tackle","Eddie Goldman","Bears",25,42040000,10510000,25000000,17250000,2023,"UFA"
"234","4-3-defensive-tackle","Da¡¯Ron Payne","Redskins",22,14418360,3604590,14418360,14418360,2022,"UFA"
"235","right-guard","Gabe Jackson","Raiders",28,55000000,11000000,25750000,16500000,2023,"UFA"
"236","right-guard","David DeCastro","Steelers",29,50000000,10000000,16000000,16000000,2022,"UFA"
"237","right-guard","Marshal Yanda","Ravens",35,10000000,10000000,10000000,10000000,2021,"UFA"
"238","right-guard","Justin Pugh","Cardinals",29,45025000,9005000,18750000,13000000,2023,"UFA"
"239","right-guard","Shaquille Mason","Patriots",26,45000000,9000000,23500000,23500000,2024,"UFA"
"240","right-guard","Larry Warford","Saints",28,34000000,8500000,17000000,17000000,2021,"UFA"
"241","center","Mitch Morse","Bills",26,44500000,11125000,26500000,20400000,2023,"UFA"
"242","center","Maurkice Pouncey","Steelers",30,22000000,11000000,15000000,12000000,2022,"UFA"
"243","center","Ryan Jensen","Buccaneers",28,42000000,10500000,22000000,22000000,2022,"UFA"
"244","right-tackle","Conor McDermott","Bills",27,2535028,633757,135028,135028,2021,"UFA"
"245","right-tackle","William Poehls","Colts",28,1230000,615000,0,0,2021,"RFA"
"246","right-tackle","Willie Beavers","49ers",26,1230000,615000,0,0,2021,"RFA"
"247","right-tackle","Tyler Marz","Titans",27,1200000,600000,0,0,2020,"ERFA"
"248","right-tackle","Andre James","Raiders",22,1765000,588333,10000,10000,2022,"RFA"
"249","4-3-defensive-end","Josh Mauro","Raiders",28,1400000,1400000,400000,400000,2020,"UFA"
"250","4-3-defensive-end","DeMarcus Walker","Broncos",25,5073852,1268463,2990702,2990702,2021,"UFA"
"251","4-3-defensive-end","Brent Urban","Titans",28,1250000,1250000,250000,250000,2020,"UFA"
